user_id,transaction_date,region,product_category,sale_amount,status,city,age,subscription,raw_timestamp,email,username,price,store_id
1654,2025-02-27,Central,Groceries,3773.18,Completed,Delhi,21,Premium,2025-02-27 00:47:17,user1654@example.com,user1654,3705.93,S008
1517,2025-11-05,West,Furniture,2051.78,,Hyderabad,33,Premium,2025-11-05 00:35:12,user1517@example.com,user1517,2251.55,S007
1781,2025-06-22,Central,Electronics,4408.59,,Mumbai,51,Basic,2025-06-22 03:05:24,user1781@example.com,user1781,4037.57,S027
1643,2025-11-13,East,Electronics,1209.65,,Kolkata,45,Basic,2025-11-13 11:36:12,,user1643,1454.05,S006
1379,2025-07-01,East,Furniture,3221.95,,Pune,33,Premium,2025-07-01 06:42:17,user1379@example.com,user1379,3178.54,S022
1332,2025-01-29,North,Furniture,4689.26,,Pune,57,Basic,2025-01-29 07:52:02,user1332@example.com,user1332,4566.55,S005
1271,2025-03-13,East,Office Supplies,2760.54,,Mumbai,19,Premium,2025-03-13 07:47:35,user1271@example.com,user1271,2921.83,S005
1642,2025-03-23,West,Electronics,3149.68,Cancelled,Hyderabad,23,Basic,2025-03-23 21:27:38,user1642@example.com,user1642,2650.28,S014
1161,2025-08-21,North,Office Supplies,2142.92,Pending,Bangalore,39,Premium,2025-08-21 00:46:56,user1161@example.com,user1161,2543.33,S018
1797,2025-09-29,East,Electronics,5531.31,Pending,Mumbai,21,Basic,2025-09-29 00:38:20,user1797@example.com,user1797,4926.75,S027
1070,2025-09-30,East,Office Supplies,4229.29,Pending,Kolkata,41,Basic,2025-09-30 04:08:42,user1070@example.com,user1070,4363.44,S015
1529,2025-08-20,West,Furniture,2365.53,Completed,Delhi,37,Premium,2025-08-20 03:15:14,,user1529,2946.32,S017
1243,2025-05-23,South,Groceries,2588.69,Pending,Mumbai,22,Basic,2025-05-23 21:31:13,user1243@example.com,user1243,2885.3,S012
1433,2025-07-30,West,Furniture,340.98,Pending,Chennai,50,Basic,2025-07-30 14:55:46,user1433@example.com,user1433,312.46,S005
1432,2025-04-04,Central,Electronics,3592.69,Completed,Chennai,26,Basic,2025-04-04 08:29:15,user1432@example.com,user1432,4281.27,S016
1492,2025-04-20,North,Groceries,5161.77,,Bangalore,28,Basic,2025-04-20 12:57:03,,user1492,4633.33,S007
1059,2025-10-24,East,Electronics,2874.65,Completed,Bangalore,20,Premium,2025-10-24 23:34:03,user1059@example.com,user1059,2519.22,S022
1240,2025-07-26,Central,Clothing,2172.28,Cancelled,Chennai,58,Basic,2025-07-26 03:56:36,user1240@example.com,user1240,2101.93,S008
